id,why_correct,why_others_wrong,cites
REG-MCQ-INDI-0016,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${agi_calc + ira + sli}; ${wages + se_income},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0017,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; $80000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0018,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; $80000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0019,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",$100000; ${wages + se_income},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0020,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${agi_calc + ira + sli}; ${wages + se_income},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0021,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; ${agi_calc + ira + sli},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0022,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${agi_calc + ira + sli}; $80000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0023,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",$100000; ${wages + se_income},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0024,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; ${agi_calc + ira + sli},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0025,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${agi_calc + ira + sli}; $80000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0026,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${agi_calc + ira + sli}; $80000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0027,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${agi_calc + ira + sli}; $80000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0028,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${agi_calc + ira + sli}; ${wages + se_income},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0029,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; $80000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0030,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; ${agi_calc + ira + sli},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0031,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${agi_calc + ira + sli}; $150000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0032,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; $150000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0033,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; ${agi_calc + ira + sli},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0034,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; ${agi_calc + ira + sli},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0035,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; $80000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0036,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${agi_calc + ira + sli}; $80000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0037,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",$80000; ${agi_calc + ira + sli},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0038,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",$80000; ${wages + se_income},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0039,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",$100000; ${agi_calc + ira + sli},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0040,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; $100000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0041,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; ${agi_calc + ira + sli},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0042,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",$100000; ${wages + se_income},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0043,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${agi_calc + ira + sli}; ${wages + se_income},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0044,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${agi_calc + ira + sli}; ${wages + se_income},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0045,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${agi_calc + ira + sli}; $150000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0046,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${agi_calc + ira + sli}; ${wages + se_income},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0047,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",$100000; ${wages + se_income},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0048,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${agi_calc + ira + sli}; ${wages + se_income},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0049,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",$100000; ${wages + se_income},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0050,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${agi_calc + ira + sli}; $100000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0051,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${agi_calc + ira + sli}; $80000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0052,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",$150000; ${wages + se_income},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0053,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",$80000; ${wages + se_income},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0054,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",$100000; ${agi_calc + ira + sli},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0055,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; ${agi_calc + ira + sli},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0056,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; ${agi_calc + ira + sli},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0057,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; $100000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0058,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",$80000; ${agi_calc + ira + sli},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0059,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; $150000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0060,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",$150000; ${agi_calc + ira + sli},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0061,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${agi_calc + ira + sli}; $80000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0062,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",$80000; ${agi_calc + ira + sli},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0063,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",$100000; ${wages + se_income},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0064,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${agi_calc + ira + sli}; $150000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0065,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; $150000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0066,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; ${agi_calc + ira + sli},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0067,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${agi_calc + ira + sli}; $80000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0068,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${agi_calc + ira + sli}; $80000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0069,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; ${agi_calc + ira + sli},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0070,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${agi_calc + ira + sli}; $100000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0071,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; $80000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0072,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${agi_calc + ira + sli}; $80000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0073,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${agi_calc + ira + sli}; $100000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0074,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${agi_calc + ira + sli}; $80000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0075,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",$150000; ${agi_calc + ira + sli},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0076,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; $80000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0077,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",$150000; ${agi_calc + ira + sli},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0078,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",$80000; ${wages + se_income},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0079,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; ${agi_calc + ira + sli},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0080,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${agi_calc + ira + sli}; $150000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0081,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",$100000; ${wages + se_income},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0082,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; ${agi_calc + ira + sli},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0083,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",$150000; ${agi_calc + ira + sli},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0084,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; ${agi_calc + ira + sli},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0085,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",$150000; ${wages + se_income},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0086,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${agi_calc + ira + sli}; ${wages + se_income},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0087,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${agi_calc + ira + sli}; ${wages + se_income},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0088,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",$100000; ${wages + se_income},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0089,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; ${agi_calc + ira + sli},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0090,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",$150000; ${agi_calc + ira + sli},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0091,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; $80000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0092,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; ${agi_calc + ira + sli},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0093,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${agi_calc + ira + sli}; $80000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0094,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; ${agi_calc + ira + sli},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0095,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",$150000; ${wages + se_income},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0096,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",$150000; ${agi_calc + ira + sli},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0097,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; $80000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0098,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${agi_calc + ira + sli}; $100000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0099,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${agi_calc + ira + sli}; $80000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0100,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${agi_calc + ira + sli}; ${wages + se_income},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0101,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${agi_calc + ira + sli}; $150000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0102,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; ${agi_calc + ira + sli},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0103,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; $100000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0104,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${agi_calc + ira + sli}; $150000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0105,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; $100000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0106,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; $150000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0107,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",$100000; ${wages + se_income},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0108,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${agi_calc + ira + sli}; ${wages + se_income},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0109,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; ${agi_calc + ira + sli},"IRC §62(a), IRC §164(f), IRC §221"
